Saggio,Molecola,Esito
GRANDEZZE FISICHE (PUNTO FUSIONE),PARACETAMOLO,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),PIRIDOSSINA HCl,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),PREDNISONE,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),PROBENECID,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),PROCAINA HCl,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),PROCAINAMMIDE HCl,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),PROGESTERONE,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),PROMETAZINA HCl,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),PROPIFENAZONE,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),PROPILPARABEN,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),SACCARINA,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),SACCAROSIO,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),SCOPOLAMINA HBr,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),SERINA,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),SODIO CITRATO,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),SODIO P-AMMINO SALICILATO,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),SODIO SALICILATO,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),SORBITOLO,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),SPIRONOLATTONE,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),SUCRALOSIO,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),SULFADIAZINA,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),SULFAGUANIDINA,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),SULFAMERAZINA,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),SULFAMETOSSIPIRIDAZINA,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),SULFANILAMIDE,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),SULFATIAZOLO,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),TEOFILLINA,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),TIAMINA HCl,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),TIMOLO,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),TOLBUTAMIDE,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),TREONINA,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),TRIPTOFANO,POSITIVO
GRANDEZZE FISICHE (PUNTO FUSIONE),VANILLINA,POSITIVO
H2SO4 & DILUIZIONE H2O (STEROIDI),CORTISONE ACETATO,POSITIVO
H2SO4 & DILUIZIONE H2O (STEROIDI),IDROCORTISONE,POSITIVO
H2SO4 & DILUIZIONE H2O (STEROIDI),IDROCORTISONE ACETATO,POSITIVO
H2SO4 & DILUIZIONE H2O (STEROIDI),PREDNISONE,POSITIVO
H2SO4 & DILUIZIONE H2O (STEROIDI),PROGESTERONE,POSITIVO
H2SO4 & DILUIZIONE H2O (STEROIDI),SPIRONOLATTONE,POSITIVO
NaNO2 + H2SO4 (FENAZONE),FENAZONE,POSITIVO
H2SO4-DIL + FLUORESCENZA (ALC CHINOLINICI),CHINIDINA SOLFATO,POSITIVO
H2SO4-DIL + FLUORESCENZA (ALC CHINOLINICI),CHININA HCl,POSITIVO
H2SO4-DIL + FLUORESCENZA (ALC CHINOLINICI),CHININA SOLFATO,POSITIVO
HCl + BaCl2 (SOLFATI),SULFAGUANIDINA,NEGATIVO
HCl + BaCl2 (SOLFATI),CHINIDINA SOLFATO,POSITIVO
MOLIBDICO & NH4OH (FOSFATI),CALCIO GLICEROFOSFATO,POSITIVO
HNO3-CONC (FENOTIAZINE),SACCARINA SODICA,NEGATIVO
HNO3-CONC (FENOTIAZINE),CLORPROMAZINA HCl,POSITIVO
HNO3-CONC (FENOTIAZINE),IMIPRAMINA HCl,POSITIVO
HNO3-CONC (FENOTIAZINE),PROMETAZINA HCl,POSITIVO
HNO3 + AgNO3 (ACIDO ASCORBICO),ACIDO ASCORBICO,POSITIVO
HNO3 + AgNO3 (ACIDO ASCORBICO),SODIO ASCORBATO,POSITIVO
IDROSSILAMMINA (ESTERI & AMMIDI),FTALILSULFATIAZOLO,NEGATIVO
IDROSSILAMMINA (ESTERI & AMMIDI),INDOMETACINA,POSITIVO
IDROSSILAMMINA (ESTERI & AMMIDI),NICOTINAMIDE,POSITIVO
IDROSSILAMMINA (ESTERI & AMMIDI),PROPILPARABEN,POSITIVO
IDROSSILAMMINA (ESTERI & AMMIDI),TOLBUTAMIDE,POSITIVO
OSSIDAZIONE KMnO4,ACIDO TANNICO,NEGATIVO
OSSIDAZIONE KMnO4,POTASSIO TARTRATO,NEGATIVO
OSSIDAZIONE KMnO4,CHINIDINA SOLFATO,POSITIVO
OSSIDAZIONE KMnO4,POTASSIO SORBATO,POSITIVO
LASSAIGNE:ALOGENI,ACIDO ACETILSALICILICO,NEGATIVO
LASSAIGNE:ALOGENI,ACIDO CITRICO,NEGATIVO
LASSAIGNE:ALOGENI,ACIDO SALICILICO,NEGATIVO
LASSAIGNE:ALOGENI,CALCIO GLICEROFOSFATO,NEGATIVO
LASSAIGNE:ALOGENI,CALCIO LATTATO,NEGATIVO
LASSAIGNE:ALOGENI,FENOLO,NEGATIVO
LASSAIGNE:ALOGENI,FRUTTOSIO,NEGATIVO
LASSAIGNE:ALOGENI,LATTOSIO,NEGATIVO
LASSAIGNE:ALOGENI,LITIO CITRATO,NEGATIVO
LASSAIGNE:ALOGENI,MAGNESIO LATTATO,NEGATIVO
LASSAIGNE:ALOGENI,MANNITOLO,NEGATIVO
LASSAIGNE:ALOGENI,METILPARABEN,NEGATIVO
LASSAIGNE:ALOGENI,POTASSIO SORBATO,NEGATIVO
LASSAIGNE:ALOGENI,POTASSIO TARTRATO,NEGATIVO
LASSAIGNE:ALOGENI,PREDNISONE,NEGATIVO
LASSAIGNE:ALOGENI,PROPILPARABEN,NEGATIVO
LASSAIGNE:ALOGENI,SODIO ASCORBATO,NEGATIVO
LASSAIGNE:ALOGENI,SODIO CITRATO,NEGATIVO
LASSAIGNE:ALOGENI,SODIO SALICILATO,NEGATIVO
LASSAIGNE:ALOGENI,SORBITOLO,NEGATIVO
LASSAIGNE:ALOGENI,TIMOLO,NEGATIVO
LASSAIGNE:ALOGENI,CLORALIO IDRATO,POSITIVO
LASSAIGNE:ALOGENI,CLORBUTANOLO,POSITIVO
LASSAIGNE:ALOGENI,SUCRALOSIO,POSITIVO
LASSAIGNE:AZOTO,ACIDO ACETILSALICILICO,NEGATIVO
LASSAIGNE:AZOTO,ACIDO ASCORBICO,NEGATIVO
LASSAIGNE:AZOTO,ACIDO BENZOICO,NEGATIVO
LASSAIGNE:AZOTO,ACIDO CITRICO,NEGATIVO
LASSAIGNE:AZOTO,ACIDO SALICILICO,NEGATIVO
LASSAIGNE:AZOTO,ACIDO SORBICO,NEGATIVO
LASSAIGNE:AZOTO,ACIDO TANNICO,NEGATIVO
LASSAIGNE:AZOTO,CALCIO GLICEROFOSFATO,NEGATIVO
LASSAIGNE:AZOTO,CALCIO LATTATO,NEGATIVO
LASSAIGNE:AZOTO,CLORALIO IDRATO,NEGATIVO
LASSAIGNE:AZOTO,CLORBUTANOLO,NEGATIVO
LASSAIGNE:AZOTO,FENOLO,NEGATIVO
LASSAIGNE:AZOTO,FRUTTOSIO,NEGATIVO
LASSAIGNE:AZOTO,IDROCORTISONE,NEGATIVO
LASSAIGNE:AZOTO,IDROCORTISONE ACETATO,NEGATIVO
LASSAIGNE:AZOTO,LATTOSIO,NEGATIVO
LASSAIGNE:AZOTO,LITIO CITRATO,NEGATIVO
LASSAIGNE:AZOTO,MAGNESIO LATTATO,NEGATIVO
LASSAIGNE:AZOTO,MANNITOLO,NEGATIVO
LASSAIGNE:AZOTO,METILPARABEN,NEGATIVO
LASSAIGNE:AZOTO,POTASSIO SORBATO,NEGATIVO
LASSAIGNE:AZOTO,POTASSIO TARTRATO,NEGATIVO
LASSAIGNE:AZOTO,PREDNISONE,NEGATIVO
LASSAIGNE:AZOTO,PROPILPARABEN,NEGATIVO
LASSAIGNE:AZOTO,SODIO ASCORBATO,NEGATIVO
LASSAIGNE:AZOTO,SODIO CITRATO,NEGATIVO
LASSAIGNE:AZOTO,SODIO SALICILATO,NEGATIVO
LASSAIGNE:AZOTO,SORBITOLO,NEGATIVO
LASSAIGNE:AZOTO,SPIRONOLATTONE,NEGATIVO
LASSAIGNE:AZOTO,SUCRALOSIO,NEGATIVO
LASSAIGNE:AZOTO,TIMOLO,NEGATIVO
LASSAIGNE:AZOTO,ACETILCISTEINA,POSITIVO
LASSAIGNE:AZOTO,ACIDO NICOTINICO,POSITIVO
LASSAIGNE:AZOTO,ASPARTAME,POSITIVO
LASSAIGNE:AZOTO,BENZOCAINA,POSITIVO
LASSAIGNE:AZOTO,CAFFEINA,POSITIVO
LASSAIGNE:AZOTO,CAPTOPRIL,POSITIVO
LASSAIGNE:AZOTO,CHINIDINA SOLFATO,POSITIVO
LASSAIGNE:AZOTO,CHININA SOLFATO,POSITIVO
LASSAIGNE:AZOTO,CISTEINA HCl,POSITIVO
LASSAIGNE:AZOTO,CLORAMINA T,POSITIVO
LASSAIGNE:AZOTO,CLORPROMAZINA HCl,POSITIVO
LASSAIGNE:AZOTO,DAPSONE,POSITIVO
LASSAIGNE:AZOTO,DIFENIDRAMINA HCl,POSITIVO
LASSAIGNE:AZOTO,ECONAZOLO NITRATO,POSITIVO
LASSAIGNE:AZOTO,EFEDRINA HCl,POSITIVO
LASSAIGNE:AZOTO,FENAZONE,POSITIVO
LASSAIGNE:AZOTO,FENILALANINA,POSITIVO
LASSAIGNE:AZOTO,FENILEFRINA HCl,POSITIVO
LASSAIGNE:AZOTO,FTALILSULFATIAZOLO,POSITIVO
LASSAIGNE:AZOTO,FUROSEMIDE,POSITIVO
LASSAIGNE:AZOTO,IDROCLOROTIAZIDE,POSITIVO
LASSAIGNE:AZOTO,INDOMETACINA,POSITIVO
LASSAIGNE:AZOTO,ISONIAZIDE,POSITIVO
LASSAIGNE:AZOTO,LEUCINA,POSITIVO
LASSAIGNE:AZOTO,LIDOCAINA HCl,POSITIVO
LASSAIGNE:AZOTO,MAGNESIO ASPARTATO,POSITIVO
LASSAIGNE:AZOTO,METFORMINA HCl,POSITIVO
LASSAIGNE:AZOTO,METIONINA,POSITIVO
LASSAIGNE:AZOTO,METRONIDAZOLO,POSITIVO
LASSAIGNE:AZOTO,NICOTINAMIDE,POSITIVO
LASSAIGNE:AZOTO,PIRIDOSSINA HCl,POSITIVO
LASSAIGNE:AZOTO,POTASSIO ASPARTATO,POSITIVO
LASSAIGNE:AZOTO,PROCAINA HCl,POSITIVO
LASSAIGNE:AZOTO,PROCAINAMMIDE HCl,POSITIVO
LASSAIGNE:AZOTO,PROLINA,POSITIVO
LASSAIGNE:AZOTO,PROMETAZINA HCl,POSITIVO
LASSAIGNE:AZOTO,PROPIFENAZONE,POSITIVO
LASSAIGNE:AZOTO,SACCARINA,POSITIVO
LASSAIGNE:AZOTO,SACCARINA SODICA,POSITIVO
LASSAIGNE:AZOTO,SCOPOLAMINA HBr,POSITIVO
LASSAIGNE:AZOTO,SERINA,POSITIVO
LASSAIGNE:AZOTO,SODIO P-AMMINO SALICILATO,POSITIVO
LASSAIGNE:AZOTO,SULFADIAZINA,POSITIVO
LASSAIGNE:AZOTO,SULFAGUANIDINA,POSITIVO
LASSAIGNE:AZOTO,SULFAMERAZINA,POSITIVO
LASSAIGNE:AZOTO,SULFANILAMIDE,POSITIVO
LASSAIGNE:AZOTO,SULFATIAZOLO,POSITIVO
LASSAIGNE:AZOTO,TEOBROMINA,POSITIVO
LASSAIGNE:AZOTO,TEOFILLINA,POSITIVO
LASSAIGNE:AZOTO,TOLBUTAMIDE,POSITIVO
LASSAIGNE:AZOTO,TREONINA,POSITIVO
LASSAIGNE:AZOTO,TRIPTOFANO,POSITIVO
LASSAIGNE:FOSFORO,IDROCORTISONE ACETATO,NEGATIVO
LASSAIGNE:FOSFORO,MAGNESIO ASPARTATO,NEGATIVO
LASSAIGNE:FOSFORO,SACCARINA SODICA,NEGATIVO
LASSAIGNE:FOSFORO,SODIO CITRATO,NEGATIVO
LASSAIGNE:ZOLFO,ACIDO ACETILSALICILICO,NEGATIVO
LASSAIGNE:ZOLFO,ACIDO ASCORBICO,NEGATIVO
LASSAIGNE:ZOLFO,ACIDO BENZOICO,NEGATIVO
LASSAIGNE:ZOLFO,ACIDO CITRICO,NEGATIVO
LASSAIGNE:ZOLFO,ACIDO NICOTINICO,NEGATIVO
LASSAIGNE:ZOLFO,ACIDO SALICILICO,NEGATIVO
LASSAIGNE:ZOLFO,ACIDO SORBICO,NEGATIVO
LASSAIGNE:ZOLFO,ACIDO TANNICO,NEGATIVO
LASSAIGNE:ZOLFO,ASPARTAME,NEGATIVO
LASSAIGNE:ZOLFO,BENZOCAINA,NEGATIVO
LASSAIGNE:ZOLFO,CAFFEINA,NEGATIVO
LASSAIGNE:ZOLFO,CALCIO GLICEROFOSFATO,NEGATIVO
LASSAIGNE:ZOLFO,CALCIO LATTATO,NEGATIVO
LASSAIGNE:ZOLFO,CLORALIO IDRATO,NEGATIVO
LASSAIGNE:ZOLFO,CLORAMINA T,NEGATIVO
LASSAIGNE:ZOLFO,CLORBUTANOLO,NEGATIVO
LASSAIGNE:ZOLFO,DIFENIDRAMINA HCl,NEGATIVO
LASSAIGNE:ZOLFO,ECONAZOLO NITRATO,NEGATIVO
LASSAIGNE:ZOLFO,EFEDRINA HCl,NEGATIVO
LASSAIGNE:ZOLFO,FENAZONE,NEGATIVO
LASSAIGNE:ZOLFO,FENILALANINA,NEGATIVO
LASSAIGNE:ZOLFO,FENILEFRINA HCl,NEGATIVO
LASSAIGNE:ZOLFO,FENOLO,NEGATIVO
LASSAIGNE:ZOLFO,FRUTTOSIO,NEGATIVO
LASSAIGNE:ZOLFO,IDROCORTISONE,NEGATIVO
LASSAIGNE:ZOLFO,IDROCORTISONE ACETATO,NEGATIVO
LASSAIGNE:ZOLFO,INDOMETACINA,NEGATIVO
LASSAIGNE:ZOLFO,ISONIAZIDE,NEGATIVO
LASSAIGNE:ZOLFO,LATTOSIO,NEGATIVO
LASSAIGNE:ZOLFO,LEUCINA,NEGATIVO
LASSAIGNE:ZOLFO,LIDOCAINA HCl,NEGATIVO
LASSAIGNE:ZOLFO,LITIO CITRATO,NEGATIVO
LASSAIGNE:ZOLFO,MAGNESIO ASPARTATO,NEGATIVO
LASSAIGNE:ZOLFO,MAGNESIO LATTATO,NEGATIVO
LASSAIGNE:ZOLFO,MANNITOLO,NEGATIVO
LASSAIGNE:ZOLFO,METFORMINA HCl,NEGATIVO
LASSAIGNE:ZOLFO,METILPARABEN,NEGATIVO
LASSAIGNE:ZOLFO,METRONIDAZOLO,NEGATIVO
LASSAIGNE:ZOLFO,NICOTINAMIDE,NEGATIVO
LASSAIGNE:ZOLFO,PIRIDOSSINA HCl,NEGATIVO
LASSAIGNE:ZOLFO,POTASSIO ASPARTATO,NEGATIVO
LASSAIGNE:ZOLFO,POTASSIO SORBATO,NEGATIVO
LASSAIGNE:ZOLFO,POTASSIO TARTRATO,NEGATIVO
LASSAIGNE:ZOLFO,PREDNISONE,NEGATIVO
LASSAIGNE:ZOLFO,PROCAINA HCl,NEGATIVO
LASSAIGNE:ZOLFO,PROCAINAMMIDE HCl,NEGATIVO
LASSAIGNE:ZOLFO,PROLINA,NEGATIVO
LASSAIGNE:ZOLFO,PROPIFENAZONE,NEGATIVO
LASSAIGNE:ZOLFO,PROPILPARABEN,NEGATIVO
LASSAIGNE:ZOLFO,SCOPOLAMINA HBr,NEGATIVO
LASSAIGNE:ZOLFO,SERINA,NEGATIVO
LASSAIGNE:ZOLFO,SODIO ASCORBATO,NEGATIVO
LASSAIGNE:ZOLFO,SODIO CITRATO,NEGATIVO
LASSAIGNE:ZOLFO,SODIO P-AMMINO SALICILATO,NEGATIVO
LASSAIGNE:ZOLFO,SODIO SALICILATO,NEGATIVO
LASSAIGNE:ZOLFO,SORBITOLO,NEGATIVO
LASSAIGNE:ZOLFO,SUCRALOSIO,NEGATIVO
LASSAIGNE:ZOLFO,TEOBROMINA,NEGATIVO
LASSAIGNE:ZOLFO,TEOFILLINA,NEGATIVO
LASSAIGNE:ZOLFO,TIMOLO,NEGATIVO
LASSAIGNE:ZOLFO,TREONINA,NEGATIVO
LASSAIGNE:ZOLFO,TRIPTOFANO,NEGATIVO
LASSAIGNE:ZOLFO,ACETILCISTEINA,POSITIVO
LASSAIGNE:ZOLFO,CAPTOPRIL,POSITIVO
LASSAIGNE:ZOLFO,CHINIDINA SOLFATO,POSITIVO
LASSAIGNE:ZOLFO,CHININA SOLFATO,POSITIVO
LASSAIGNE:ZOLFO,CISTEINA HCl,POSITIVO
LASSAIGNE:ZOLFO,CLORPROMAZINA HCl,POSITIVO
LASSAIGNE:ZOLFO,DAPSONE,POSITIVO
LASSAIGNE:ZOLFO,FTALILSULFATIAZOLO,POSITIVO
LASSAIGNE:ZOLFO,FUROSEMIDE,POSITIVO
LASSAIGNE:ZOLFO,IDROCLOROTIAZIDE,POSITIVO
LASSAIGNE:ZOLFO,METIONINA,POSITIVO
LASSAIGNE:ZOLFO,PROMETAZINA HCl,POSITIVO
LASSAIGNE:ZOLFO,SACCARINA,POSITIVO
LASSAIGNE:ZOLFO,SACCARINA SODICA,POSITIVO
LASSAIGNE:ZOLFO,SPIRONOLATTONE,POSITIVO
LASSAIGNE:ZOLFO,SULFADIAZINA,POSITIVO
LASSAIGNE:ZOLFO,SULFAGUANIDINA,POSITIVO
LASSAIGNE:ZOLFO,SULFAMERAZINA,POSITIVO
LASSAIGNE:ZOLFO,SULFANILAMIDE,POSITIVO
LASSAIGNE:ZOLFO,SULFATIAZOLO,POSITIVO
LASSAIGNE:ZOLFO,TOLBUTAMIDE,POSITIVO
LIEBERMANN (FENOLI p-LIBERA),SODIO SALICILATO,POSITIVO
LIEBERMANN (FENOLI p-LIBERA),TIMOLO,POSITIVO
AMMINE TERZIARIE (MAYER),BENZOCAINA,NEGATIVO
AMMINE TERZIARIE (MAYER),FENAZONE,NEGATIVO
AMMINE TERZIARIE (MAYER),FENOTIAZINA,NEGATIVO
AMMINE TERZIARIE (MAYER),ISONIAZIDE,NEGATIVO
AMMINE TERZIARIE (MAYER),METFORMINA HCl,NEGATIVO
AMMINE TERZIARIE (MAYER),CHININA SOLFATO,POSITIVO
AMMINE TERZIARIE (MAYER),LIDOCAINA HCl,POSITIVO
AMMINE TERZIARIE (MAYER),PROBENECID,POSITIVO
AMMINE TERZIARIE (MAYER),PROCAINA HCl,POSITIVO
AMMINE TERZIARIE (MAYER),PROCAINAMMIDE HCl,POSITIVO
MILLON (FENOLI p-OCCUPATA),NICOTINAMIDE,NEGATIVO
MILLON (FENOLI p-OCCUPATA),METILPARABEN,POSITIVO
MILLON (FENOLI p-OCCUPATA),PARACETAMOLO,POSITIVO
MILLON (FENOLI p-OCCUPATA),PROPILPARABEN,POSITIVO
MILLON (FENOLI p-OCCUPATA),TIMOLO,POSITIVO
MILLON (FENOLI p-OCCUPATA),VANILLINA,POSITIVO
MOHLER (LATTATI E TARTRATI),CALCIO GLICEROFOSFATO,NEGATIVO
MOHLER (LATTATI E TARTRATI),MANNITOLO,NEGATIVO
MOHLER (LATTATI E TARTRATI),POTASSIO SORBATO,NEGATIVO
MOHLER (LATTATI E TARTRATI),MAGNESIO LATTATO,POSITIVO
MOHLER (LATTATI E TARTRATI),POTASSIO TARTRATO,POSITIVO
MOLISCH (CARBOIDRATI),CALCIO GLICEROFOSFATO,NEGATIVO
MOLISCH (CARBOIDRATI),CLORBUTANOLO,NEGATIVO
MOLISCH (CARBOIDRATI),NICOTINAMIDE,NEGATIVO
MOLISCH (CARBOIDRATI),FRUTTOSIO,POSITIVO
MOLISCH (CARBOIDRATI),LATTOSIO,POSITIVO
MOLISCH (CARBOIDRATI),MANNITOLO,POSITIVO
MOLISCH (CARBOIDRATI),SACCAROSIO,POSITIVO
MOLISCH (CARBOIDRATI),SORBITOLO,POSITIVO
MOLISCH (CARBOIDRATI),SUCRALOSIO,POSITIVO
MURESSIDE (XANTINE),FENAZONE,NEGATIVO
MURESSIDE (XANTINE),GLICINA,NEGATIVO
MURESSIDE (XANTINE),IMIPRAMINA HCl,NEGATIVO
MURESSIDE (XANTINE),LIDOCAINA HCl,NEGATIVO
MURESSIDE (XANTINE),MANNITOLO,NEGATIVO
MURESSIDE (XANTINE),CAFFEINA,POSITIVO
MURESSIDE (XANTINE),TEOBROMINA,POSITIVO
MURESSIDE (XANTINE),TEOFILLINA,POSITIVO
NH4OH & Na2HPO4 (MAGNESIO),CALCIO GLICEROFOSFATO,NEGATIVO
NH4OH & Na2HPO4 (MAGNESIO),CALCIO LATTATO,NEGATIVO
NH4OH & Na2HPO4 (MAGNESIO),LATTOSIO,NEGATIVO
NH4OH & Na2HPO4 (MAGNESIO),SODIO ACETATO,NEGATIVO
NH4OH & Na2HPO4 (MAGNESIO),MAGNESIO ASPARTATO,POSITIVO
NH4OH & Na2HPO4 (MAGNESIO),MAGNESIO LATTATO,POSITIVO
NH4OH B.M. (LATTOSIO),SACCAROSIO,NEGATIVO
NH4OH B.M. (LATTOSIO),LATTOSIO,POSITIVO
NINIDRINA (AMINOACIDI),ACIDO NICOTINICO,NEGATIVO
NINIDRINA (AMINOACIDI),CAFFEINA,NEGATIVO
NINIDRINA (AMINOACIDI),CALCIO PANTOTENATO,NEGATIVO
NINIDRINA (AMINOACIDI),CLORPROMAZINA HCl,NEGATIVO
NINIDRINA (AMINOACIDI),EFEDRINA HCl,NEGATIVO
NINIDRINA (AMINOACIDI),FENAZONE,NEGATIVO
NINIDRINA (AMINOACIDI),FTALILSULFATIAZOLO,NEGATIVO
NINIDRINA (AMINOACIDI),IDROCLOROTIAZIDE,NEGATIVO
NINIDRINA (AMINOACIDI),IMIPRAMINA HCl,NEGATIVO
NINIDRINA (AMINOACIDI),METFORMINA HCl,NEGATIVO
NINIDRINA (AMINOACIDI),METRONIDAZOLO,NEGATIVO
NINIDRINA (AMINOACIDI),NICOTINAMIDE,NEGATIVO
NINIDRINA (AMINOACIDI),PARACETAMOLO,NEGATIVO
NINIDRINA (AMINOACIDI),PIRIDOSSINA HCl,NEGATIVO
NINIDRINA (AMINOACIDI),PROCAINAMMIDE HCl,NEGATIVO
NINIDRINA (AMINOACIDI),PROMETAZINA HCl,NEGATIVO
NINIDRINA (AMINOACIDI),PROPIFENAZONE,NEGATIVO
NINIDRINA (AMINOACIDI),SODIO P-AMMINO SALICILATO,NEGATIVO
NINIDRINA (AMINOACIDI),SULFAGUANIDINA,NEGATIVO
NINIDRINA (AMINOACIDI),TIAMINA HCl,NEGATIVO
NINIDRINA (AMINOACIDI),ASPARTAME,POSITIVO
NINIDRINA (AMINOACIDI),CISTEINA HCl,POSITIVO
NINIDRINA (AMINOACIDI),FENILALANINA,POSITIVO
NINIDRINA (AMINOACIDI),GLICINA,POSITIVO
NINIDRINA (AMINOACIDI),LEUCINA,POSITIVO
NINIDRINA (AMINOACIDI),METIONINA,POSITIVO
NINIDRINA (AMINOACIDI),METIONINA,POSITIVO
NINIDRINA (AMINOACIDI),POTASSIO ASPARTATO,POSITIVO
NINIDRINA (AMINOACIDI),PROLINA,POSITIVO
NINIDRINA (AMINOACIDI),SERINA,POSITIVO
NINIDRINA (AMINOACIDI),SERINA,POSITIVO
NINIDRINA (AMINOACIDI),TREONINA,POSITIVO
NINIDRINA (AMINOACIDI),TRIPTOFANO,POSITIVO
ORGANOLETTICA,ACIDO TANNICO,POSITIVO
ORGANOLETTICA,CLORAMINA T,POSITIVO
ORGANOLETTICA,MAGNESIO LATTATO,POSITIVO
ORGANOLETTICA,SODIO ACETATO,POSITIVO
ORGANOLETTICA,TIMOLO,POSITIVO
OSSALATO AMMONIO (CALCIO),LATTOSIO,NEGATIVO
OSSALATO AMMONIO (CALCIO),POTASSIO SORBATO,NEGATIVO
OSSALATO AMMONIO (CALCIO),CALCIO GLICEROFOSFATO,POSITIVO
OSSALATO AMMONIO (CALCIO),CALCIO LATTATO,POSITIVO
PROVA AL COCCIO,ACIDO ACETILSALICILICO,POSITIVO
PROVA AL COCCIO,ACIDO ASCORBICO,POSITIVO
PROVA AL COCCIO,ACIDO CITRICO,POSITIVO
PROVA AL COCCIO,ACIDO NICOTINICO,POSITIVO
PROVA AL COCCIO,ACIDO SALICILICO,POSITIVO
PROVA AL COCCIO,ACIDO SORBICO,POSITIVO
PROVA AL COCCIO,ACIDO TANNICO,POSITIVO
PROVA AL COCCIO,ASPARTAME,POSITIVO
PROVA AL COCCIO,BENZOCAINA,POSITIVO
PROVA AL COCCIO,CAFFEINA,POSITIVO
PROVA AL COCCIO,CALCIO GLICEROFOSFATO,POSITIVO
PROVA AL COCCIO,CALCIO LATTATO,POSITIVO
PROVA AL COCCIO,CALCIO PANTOTENATO,POSITIVO
PROVA AL COCCIO,CAPTOPRIL,POSITIVO
PROVA AL COCCIO,CHINIDINA SOLFATO,POSITIVO
PROVA AL COCCIO,CHININA HCl,POSITIVO
PROVA AL COCCIO,CHININA SOLFATO,POSITIVO
PROVA AL COCCIO,CISTEINA HCl,POSITIVO
PROVA AL COCCIO,CLORALIO IDRATO,POSITIVO
PROVA AL COCCIO,CLORAMINA T,POSITIVO
PROVA AL COCCIO,CLORBUTANOLO,POSITIVO
PROVA AL COCCIO,CLOROCHINA BIFOSFATO,POSITIVO
PROVA AL COCCIO,CLORPROMAZINA HCl,POSITIVO
PROVA AL COCCIO,CORTISONE ACETATO,POSITIVO
PROVA AL COCCIO,DAPSONE,POSITIVO
PROVA AL COCCIO,DESAMETASONE SODIO FOSFATO,POSITIVO
PROVA AL COCCIO,ECONAZOLO NITRATO,POSITIVO
PROVA AL COCCIO,EFEDRINA HCl,POSITIVO
PROVA AL COCCIO,FENAZONE,POSITIVO
PROVA AL COCCIO,FENILALANINA,POSITIVO
PROVA AL COCCIO,FENILEFRINA HCl,POSITIVO
PROVA AL COCCIO,FENOLO,POSITIVO
PROVA AL COCCIO,FRUTTOSIO,POSITIVO
PROVA AL COCCIO,FTALILSULFATIAZOLO,POSITIVO
PROVA AL COCCIO,FUROSEMIDE,POSITIVO
PROVA AL COCCIO,GLICINA,POSITIVO
PROVA AL COCCIO,GLUCOSIO,POSITIVO
PROVA AL COCCIO,IDROCLOROTIAZIDE,POSITIVO
PROVA AL COCCIO,IDROCORTISONE,POSITIVO
PROVA AL COCCIO,IDROCORTISONE ACETATO,POSITIVO
PROVA AL COCCIO,IMIPRAMINA HCl,POSITIVO
PROVA AL COCCIO,ISONIAZIDE,POSITIVO
PROVA AL COCCIO,LATTOSIO,POSITIVO
PROVA AL COCCIO,LEUCINA,POSITIVO
PROVA AL COCCIO,LIDOCAINA HCl,POSITIVO
PROVA AL COCCIO,LISINA HCl,POSITIVO
PROVA AL COCCIO,LITIO CITRATO,POSITIVO
PROVA AL COCCIO,MAGNESIO ASPARTATO,POSITIVO
PROVA AL COCCIO,MAGNESIO LATTATO,POSITIVO
PROVA AL COCCIO,MANNITOLO,POSITIVO
PROVA AL COCCIO,METFORMINA HCl,POSITIVO
PROVA AL COCCIO,METILPARABEN,POSITIVO
PROVA AL COCCIO,METIONINA,POSITIVO
